noise_level,gamma,p1
0.0,0.22,0.072509765625
0.0,0.23,0.05908203125
0.0,0.24,0.071533203125
0.0,0.25,0.0858154296875
0.0,0.26,0.0870361328125
0.0,0.27,0.105712890625
0.0,0.28,0.1064453125
0.05,0.22,0.062255859375
0.05,0.23,0.0693359375
0.05,0.24,0.0845947265625
0.05,0.25,0.0791015625
0.05,0.26,0.0947265625
0.05,0.27,0.0966796875
0.05,0.28,0.103271484375
0.1,0.22,0.08447265625
0.1,0.23,0.0703125
0.1,0.24,0.0872802734375
0.1,0.25,0.098388671875
0.1,0.26,0.128173828125
0.1,0.27,0.09326171875
0.1,0.28,0.1387939453125
